GEO_ID,DSN,ID1,ID2,INSTRUMENT,CELLLIMITS,AREA_INSTRUMENT,TIME_RESOLUTION,ORIGIN,ADD_INFO,0
fra,149,ale,ale_2dvd,2DVD,NONE,10000,60,NASA EARTHDATA HYMEX,,914
fin,158,ema,ema_2dvd,2DVD,NONE,10000,60,NASA EARTHDATA LPVEX,,3263
fin,159,har,har_2dvd,2DVD,NONE,10000,60,NASA EARTHDATA LPVEX,,1272
us-e1,87,hnt,hnt01_2dvd,2DVD,NONE,10000,60,NASA EARTHDATA NSSTC,,5951
us-e1,88,hnt,hnt03_2dvd,2DVD,NONE,10000,60,NASA EARTHDATA NSSTC,,3890
fin,160,jar,jar_2dvd,2DVD,NONE,10000,60,NASA EARTHDATA LPVEX,,2999
us-c2,64,okl,okl18_2dvd,2DVD,NONE,10000,60,NASA EARTHDATA MC3E,,1649
us-c2,65,okl,okl19_2dvd,2DVD,NONE,10000,60,NASA EARTHDATA MC3E,,1610
us-c2,66,okl,okl20_2dvd,2DVD,NONE,10000,60,NASA EARTHDATA MC3E,,1540
us-c2,67,okl,okl21_2dvd,2DVD,NONE,10000,60,NASA EARTHDATA MC3E,,1580
us-c2,68,okl,okl22_2dvd,2DVD,NONE,10000,60,NASA EARTHDATA MC3E,,1375
ita,156,rom,rom_2dvd,2DVD,NONE,10000,60,NASA EARTHDATA HYMEX,,3185
us-e2,100,wal,wal01_2dvd,2DVD,NONE,10000,60,NASA GLOBAL PRECIPITATION MEASUREMENT,Composite,23443
us-e2,101,wal,wal01_yr13_2dvd,2DVD,NONE,10000,60,NASA GLOBAL PRECIPITATION MEASUREMENT,,10484
us-e2,102,wal,wal01_yr14_2dvd,2DVD,NONE,10000,60,NASA GLOBAL PRECIPITATION MEASUREMENT,,12959
us-e2,103,wal,wal02_2dvd,2DVD,NONE,10000,60,NASA GLOBAL PRECIPITATION MEASUREMENT,Composite,56014
us-e2,104,wal,wal02_yr10_2dvd,2DVD,NONE,10000,60,NASA GLOBAL PRECIPITATION MEASUREMENT,,7932
us-e2,105,wal,wal02_yr11_2dvd,2DVD,NONE,10000,60,NASA GLOBAL PRECIPITATION MEASUREMENT,,4926
us-e2,106,wal,wal02_yr12_2dvd,2DVD,NONE,10000,60,NASA GLOBAL PRECIPITATION MEASUREMENT,,8334
us-e2,107,wal,wal02_yr13_2dvd,2DVD,NONE,10000,60,NASA GLOBAL PRECIPITATION MEASUREMENT,,19278
us-e2,108,wal,wal02_yr14_2dvd,2DVD,NONE,10000,60,NASA GLOBAL PRECIPITATION MEASUREMENT,,15544
us-e2,109,wal,wal03_2dvd,2DVD,NONE,10000,60,NASA GLOBAL PRECIPITATION MEASUREMENT,Composite,24678
us-e2,110,wal,wal03_yr13_2dvd,2DVD,NONE,10000,60,NASA GLOBAL PRECIPITATION MEASUREMENT,,12656
us-e2,111,wal,wal03_yr14_2dvd,2DVD,NONE,10000,60,NASA GLOBAL PRECIPITATION MEASUREMENT,,12022
us-e2,112,wal,wal04_2dvd,2DVD,NONE,10000,60,NASA GLOBAL PRECIPITATION MEASUREMENT,Composite,32853
us-e2,113,wal,wal04_yr13_2dvd,2DVD,NONE,10000,60,NASA GLOBAL PRECIPITATION MEASUREMENT,,15806
us-e2,114,wal,wal04_yr14_2dvd,2DVD,NONE,10000,60,NASA GLOBAL PRECIPITATION MEASUREMENT,,17047
us-e2,115,wal,wal05_2dvd,2DVD,NONE,10000,60,NASA GLOBAL PRECIPITATION MEASUREMENT,Composite,30064
us-e2,116,wal,wal05_yr13_2dvd,2DVD,NONE,10000,60,NASA GLOBAL PRECIPITATION MEASUREMENT,,17130
us-e2,117,wal,wal05_yr14_2dvd,2DVD,NONE,10000,60,NASA GLOBAL PRECIPITATION MEASUREMENT,,12934
us-e2,118,wal,wal06_2dvd,2DVD,NONE,10000,60,NASA GLOBAL PRECIPITATION MEASUREMENT,Composite,23132
us-e2,119,wal,wal06_yr13_2dvd,2DVD,NONE,10000,60,NASA GLOBAL PRECIPITATION MEASUREMENT,,8922
us-e2,120,wal,wal06_yr14_2dvd,2DVD,NONE,10000,60,NASA GLOBAL PRECIPITATION MEASUREMENT,,14210
ita,153,ave,ave_r1min,PARSIVEL,celllimits_PARSIVEL,5400,60,NASA EARTHDATA HYMEX,,4527
us-e1,83,cos,cos_r1min,PARSIVEL,celllimits_PARSIVEL,5400,60,NASA EARTHDATA DUKE IPHEX,,2045
us-e1,84,cwc,cwc_r1min,PARSIVEL,celllimits_PARSIVEL,5400,60,NASA EARTHDATA DUKE IPHEX,,2817
us-e1,85,elk,elk_r1min,PARSIVEL,celllimits_PARSIVEL,5400,60,NASA EARTHDATA DUKE IPHEX,,2477
fra,150,gre,gre_r1min,PARSIVEL,celllimits_PARSIVEL,5400,60,NASA EARTHDATA HYMEX,,1473
us-e1,86,hay,hay_r1min,PARSIVEL,celllimits_PARSIVEL,5400,60,NASA EARTHDATA DUKE IPHEX,,2728
ita,154,laq,laq_r1min,PARSIVEL,celllimits_PARSIVEL,5400,60,NASA EARTHDATA HYMEX,,3085
us-e1,89,mmt,mmt_r1min,PARSIVEL,celllimits_PARSIVEL,5400,60,NASA EARTHDATA DUKE IPHEX,,3280
us-e1,90,mpi,mpi_r1min,PARSIVEL,celllimits_PARSIVEL,5400,60,NASA EARTHDATA DUKE IPHEX,,3101
us-e1,91,mri,mri_r1min,PARSIVEL,celllimits_PARSIVEL,5400,60,NASA EARTHDATA DUKE IPHEX,,1517
us-c2,69,okl,okl01_r1min,PARSIVEL,celllimits_PARSIVEL,5400,60,NASA EARTHDATA MC3E,,1026
us-c2,70,okl,okl02_r1min,PARSIVEL,celllimits_PARSIVEL,5400,60,NASA EARTHDATA MC3E,,1677
us-c2,71,okl,okl03_r1min,PARSIVEL,celllimits_PARSIVEL,5400,60,NASA EARTHDATA MC3E,,2357
us-c2,72,okl,okl04_r1min,PARSIVEL,celllimits_PARSIVEL,5400,60,NASA EARTHDATA MC3E,,1876
us-c2,73,okl,okl05_r1min,PARSIVEL,celllimits_PARSIVEL,5400,60,NASA EARTHDATA MC3E,,1021
us-c2,74,okl,okl06_r1min,PARSIVEL,celllimits_PARSIVEL,5400,60,NASA EARTHDATA MC3E,,1582
us-c2,75,okl,okl07_r1min,PARSIVEL,celllimits_PARSIVEL,5400,60,NASA EARTHDATA MC3E,,1641
us-c2,76,okl,okl08_r1min,PARSIVEL,celllimits_PARSIVEL,5400,60,NASA EARTHDATA MC3E,,1572
us-c2,77,okl,okl09_r1min,PARSIVEL,celllimits_PARSIVEL,5400,60,NASA EARTHDATA MC3E,,2063
us-c2,78,okl,okl10_r1min,PARSIVEL,celllimits_PARSIVEL,5400,60,NASA EARTHDATA MC3E,,2275
us-c2,79,okl,okl11_r1min,PARSIVEL,celllimits_PARSIVEL,5400,60,NASA EARTHDATA MC3E,,1635
us-c2,80,okl,okl12_r1min,PARSIVEL,celllimits_PARSIVEL,5400,60,NASA EARTHDATA MC3E,,1475
us-c2,81,okl,okl13_r1min,PARSIVEL,celllimits_PARSIVEL,5400,60,NASA EARTHDATA MC3E,,1712
us-c2,82,okl,okl17_r1min,PARSIVEL,celllimits_PARSIVEL,5400,60,NASA EARTHDATA MC3E,,988
us-e1,92,par,par_r1min,PARSIVEL,celllimits_PARSIVEL,5400,60,NASA EARTHDATA DUKE IPHEX,,3050
ita,155,pes,pes_r1min,PARSIVEL,celllimits_PARSIVEL,5400,60,NASA EARTHDATA HYMEX,,1984
us-e1,93,pkn,pkn1_r1min,PARSIVEL,celllimits_PARSIVEL,5400,60,NASA EARTHDATA DUKE IPHEX,,2500
us-e1,94,pkn,pkn2_r1min,PARSIVEL,celllimits_PARSIVEL,5400,60,NASA EARTHDATA DUKE IPHEX,,3983
ita,157,rom_cnrimm,rom_cnrimm_u01_r1min,PARSIVEL,celllimits_PARSIVEL,5400,60,NASA EARTHDATA HYMEX ,,2248
us-e1,95,scc,scc_r1min,PARSIVEL,celllimits_PARSIVEL,5400,60,NASA EARTHDATA DUKE IPHEX,,3161
fra,151,sqp,sqp_r1min,PARSIVEL,celllimits_PARSIVEL,5400,60,NASA EARTHDATA HYMEX,,1759
us-e1,96,tcc,tcc_r1min,PARSIVEL,celllimits_PARSIVEL,5400,60,NASA EARTHDATA DUKE IPHEX,,2450
us-e1,97,unca,unca2_r1min,PARSIVEL,celllimits_PARSIVEL,5400,60,NASA EARTHDATA DUKE IPHEX,,2094
fra,152,uze,uze_r1min,PARSIVEL,celllimits_PARSIVEL,5400,60,NASA EARTHDATA HYMEX,,1689
us-e1,98,wcu,wcu1_r1min,PARSIVEL,celllimits_PARSIVEL,5400,60,NASA EARTHDATA DUKE IPHEX,,2714
us-e1,99,wcu,wcu2_r1min,PARSIVEL,celllimits_PARSIVEL,5400,60,NASA EARTHDATA DUKE IPHEX,,2944
Us-c1,61,bao,bao_r1min,RD69,celllimits_RD69_20cl_BAO_horiz,5000,60,NOAA - PHYSICAL SCIENCES LABORATORY-- INVENTORY SITE,,6003
uk,121,chb,chb_yr03_r1min,RD69,celllimits_RD69_20cl_CHB_horiz,5000,60,CHILBOLTON FACILITY (CFARR)-- CHILBOLTON SITE,,11788
uk,122,chb,chb_yr04_r1min,RD69,celllimits_RD69_20cl_CHB_horiz,5000,60,CHILBOLTON FACILITY (CFARR)-- CHILBOLTON SITE,,15410
uk,123,chb,chb_yr05_r1min,RD69,celllimits_RD69_20cl_CHB_horiz,5000,60,CHILBOLTON FACILITY (CFARR)-- CHILBOLTON SITE,,13494
uk,124,chb,chb_yr06_r1min,RD69,celllimits_RD69_20cl_CHB_horiz,5000,60,CHILBOLTON FACILITY (CFARR)-- CHILBOLTON SITE,,19392
uk,125,chb,chb_yr07_r1min,RD69,celllimits_RD69_20cl_CHB_horiz,5000,60,CHILBOLTON FACILITY (CFARR)-- CHILBOLTON SITE,,39888
uk,126,chb,chb_yr08_r1min,RD69,celllimits_RD69_20cl_CHB_horiz,5000,60,CHILBOLTON FACILITY (CFARR)-- CHILBOLTON SITE,,35878
uk,127,chb,chb_yr09_r1min,RD69,celllimits_RD69_20cl_CHB_horiz,5000,60,CHILBOLTON FACILITY (CFARR)-- CHILBOLTON SITE,,32768
uk,128,chb,chb_yr10_r1min,RD69,celllimits_RD69_20cl_CHB_horiz,5000,60,CHILBOLTON FACILITY (CFARR)-- CHILBOLTON SITE,,12312
uk,129,chb,chb_yr11_r1min,RD69,celllimits_RD69_20cl_CHB_horiz,5000,60,CHILBOLTON FACILITY (CFARR)-- CHILBOLTON SITE,,16856
uk,130,chb,chb_yr12_r1min,RD69,celllimits_RD69_20cl_CHB_horiz,5000,60,CHILBOLTON FACILITY (CFARR)-- CHILBOLTON SITE,,29969
uk,131,chb,chb_yr13_r1min,RD69,celllimits_RD69_20cl_CHB_horiz,5000,60,CHILBOLTON FACILITY (CFARR)-- CHILBOLTON SITE,,34062
uk,132,chb,chb_yr14_r1min,RD69,celllimits_RD69_20cl_CHB_horiz,5000,60,CHILBOLTON FACILITY (CFARR)-- CHILBOLTON SITE,,47137
uk,133,chb,chb_yr15_r1min,RD69,celllimits_RD69_20cl_CHB_horiz,5000,60,CHILBOLTON FACILITY (CFARR)-- CHILBOLTON SITE,,38554
uk,134,chb,chb_yr16_r1min,RD69,celllimits_RD69_20cl_CHB_horiz,5000,60,CHILBOLTON FACILITY (CFARR)-- CHILBOLTON SITE,,36407
uk,135,chb,chb_yr17_r1min,RD69,celllimits_RD69_20cl_CHB_horiz,5000,60,CHILBOLTON FACILITY (CFARR)-- CHILBOLTON SITE,,40426
uk,136,chb,chb_yr18_r1min,RD69,celllimits_RD69_20cl_CHB_horiz,5000,60,CHILBOLTON FACILITY (CFARR)-- CHILBOLTON SITE,,23812
uk,137,chb,chb_r1min,RD69,celllimits_RD69_20cl_CHB_horiz,5000,60,CHILBOLTON FACILITY (CFARR)-- CHILBOLTON SITE,Composite,448153
drw,162,drw,drw_r1min,RD69,celllimits_RD69_20cl_darwin_horiz,5000,60,NOAA - PHYSICAL SCIENCES LABORATORY-- INVENTORY SITE,,6925
ktm,165,ktm,ktm_r1min,RD69,celllimits_RD69_20cl_kendalltamiami_horiz,5000,60,NASA CRYSTAL FACE PROGRAM,,2240
lcm,166,lcm,lcm_r1min,RD69,celllimits_RD69_20cl_LCM_horiz,5000,60,MACUGNAGA DATASET,,15820
uk,138,sph,sph_yr04_r1min,RD69,celllimits_RD69_20cl_CHB_horiz,5000,60,CHILBOLTON FACILITY (CFARR)-- SPARSHOLT COLLEGE SITE,,16819
uk,139,sph,sph_yr05_r1min,RD69,celllimits_RD69_20cl_CHB_horiz,5000,60,CHILBOLTON FACILITY (CFARR)-- SPARSHOLT COLLEGE SITE,,32423
uk,140,sph,sph_yr06_r1min,RD69,celllimits_RD69_20cl_CHB_horiz,5000,60,CHILBOLTON FACILITY (CFARR)-- SPARSHOLT COLLEGE SITE,,27841
